-3.077 0.137
-3.046 0.144
-3.014 0.133
-2.983 0.093
-2.952 0.094
-2.92 0.096
-2.889 0.098
-2.857 0.096
-2.826 0.081
-2.795 0.064
-2.763 0.032
-2.732 0.008
-2.7 -0.008
-2.669 -0.022
-2.638 -0.034
-2.606 -0.041
-2.575 -0.048
-2.543 -0.053
-2.512 -0.057
-2.481 -0.062
-2.449 -0.072
-2.418 -0.084
-2.386 -0.099
-2.355 -0.118
-2.324 -0.107
-2.292 -0.097
-2.261 -0.102
-2.229 -0.107
-2.198 -0.112
-2.167 -0.117
-2.135 -0.119
-2.104 -0.112
-2.072 -0.105
-2.041 -0.107
-2.01 -0.114
-1.978 -0.142
-1.947 -0.146
-1.915 -0.149
-1.884 -0.152
-1.853 -0.151
-1.821 -0.149
-1.79 -0.148
-1.758 -0.137
-1.727 -0.127
-1.696 -0.123
-1.664 -0.119
-1.633 -0.118
-1.601 -0.12
-1.57 -0.122
-1.539 -0.124
-1.507 -0.112
-1.476 -0.099
-1.444 -0.087
-1.413 -0.073
-1.382 -0.064
-1.35 -0.062
-1.319 -0.06
-1.287 -0.058
-1.256 -0.058
-1.225 -0.06
-1.193 -0.061
-1.162 -0.066
-1.13 -0.066
-1.099 -0.061
-1.068 -0.057
-1.036 -0.049
-1.005 -0.04
-0.973 -0.03
-0.942 -0.024
-0.911 -0.019
-0.879 -0.013
-0.848 -0.004
-0.816 0.021
-0.785 0.027
-0.754 0.032
-0.722 0.037
-0.691 0.038
-0.659 0.039
-0.628 0.041
-0.597 0.042
-0.565 0.043
-0.534 0.049
-0.502 0.059
-0.471 0.071
-0.44 0.083
-0.408 0.087
-0.377 0.09
-0.345 0.092
-0.314 0.095
-0.283 0.097
-0.251 0.099
-0.22 0.111
-0.188 0.122
-0.157 0.143
-0.126 0.151
-0.094 0.149
-0.063 0.144
-0.031 0.136
0 0.158
0.031 0.178
0.063 0.192
0.094 0.199
0.126 0.205
0.157 0.211
0.188 0.213
0.22 0.214
0.251 0.232
0.283 0.25
0.314 0.257
0.345 0.266
0.377 0.276
0.408 0.281
0.44 0.283
0.471 0.277
0.502 0.278
0.534 0.287
0.565 0.293
0.597 0.297
0.628 0.302
0.659 0.3
0.691 0.297
0.722 0.295
0.754 0.295
0.785 0.295
0.816 0.291
0.848 0.283
0.879 0.285
0.911 0.302
0.942 0.307
0.973 0.311
1.005 0.319
1.036 0.329
1.068 0.353
1.099 0.369
1.13 0.379
1.162 0.387
1.193 0.388
1.225 0.386
1.256 0.395
1.287 0.404
1.319 0.405
1.35 0.406
1.382 0.405
1.413 0.4
1.444 0.406
1.476 0.415
1.507 0.425
1.539 0.435
1.57 0.438
1.601 0.441
1.633 0.436
1.664 0.425
1.696 0.416
1.727 0.423
1.758 0.429
1.79 0.436
1.821 0.444
1.853 0.445
1.884 0.437
1.915 0.438
1.947 0.442
1.978 0.442
2.01 0.428
2.041 0.415
2.072 0.411
2.104 0.423
2.135 0.422
2.167 0.421
2.198 0.415
2.229 0.409
2.261 0.403
2.292 0.392
2.324 0.373
2.355 0.36
2.386 0.348
2.418 0.337
2.449 0.333
2.481 0.328
2.512 0.321
2.543 0.312
2.575 0.299
2.606 0.286
2.638 0.276
2.669 0.271
2.7 0.268
2.732 0.271
2.763 0.273
2.795 0.265
2.826 0.255
2.857 0.244
2.889 0.236
2.92 0.222
2.952 0.207
2.983 0.188
3.014 0.176
3.046 0.17
3.077 0.163
